var_id	TF	TF_TE.random	gene	gene_TE.random	analysis
rs1002699754	STAT1	0.0379079596826783	PEX13	0.115720512184952	tissue
rs1005042281	HNF1B	-0.0172428699479146	HBB	0.179282484897724	tissue
rs1014892217	NR2C1	-0.0913787642762126	WFS1	-0.201667114660007	tissue
rs1014892217	NR2F1	-0.100398737715935	WFS1	-0.201667114660007	tissue
rs1014892217	ESR2	0.0575311120768812	WFS1	-0.201667114660007	tissue
rs1023497	HSF2	-0.0350147089725436	CENPM	0.0964497445898264	tissue
rs1023643662	KLF5	0.076267115741927	ACADVL	-0.105991683394234	tissue
rs1023643662	MAZ	-0.0610027041243335	ACADVL	-0.105991683394234	tissue
rs1024611	TFAP4	-0.0178720278871239	CCL2	0.428346134159115	tissue
rs1032857886	HIC2	-0.0202124785994397	ACADVL	-0.105991683394234	tissue
rs1033407	BACH2	-0.0579983935333053	FBXO7	-0.0844762203347466	tissue
rs1033407	NRL	0.101889410311038	FBXO7	-0.0844762203347466	tissue
rs104894418	STAT3	0.147951459744635	LIG4	0.0950169076350246	tissue
rs104894421	NR1I3	-0.0137301378213902	LIG4	0.0950169076350246	tissue
rs104894640	ESRRB	0.0035640941079172	SGSH	-0.0960037098457885	tissue
rs104894640	NR5A1	0.0215901883996068	SGSH	-0.0960037098457885	tissue
rs104894643	FOSL2	0.220228104585515	SGSH	-0.0960037098457885	tissue
rs1055395965	TEAD3	-0.0689240264353524	HBB	0.179282484897724	tissue
rs1057523521	ESR2	0.0575311120768812	ACADVL	-0.105991683394234	tissue
rs1060500182	TBX19	-0.0690777205929277	GPM6B	-0.27102805596395	tissue
rs10844706	NFAT5	0.0670307778086934	CD69	0.288337254887317	tissue
rs111477741	TFAP4	-0.0178720278871239	RGS19	-0.116266674741192	tissue
rs11172247	ASCL1	0.078388218580892	KIF5A	0.0727069897917573	tissue
rs111800668	JUN	0.279335211080358	SGSH	-0.0960037098457885	tissue
rs112005636	TP53	-0.0435812512179766	ABCA4	0.118568206196979	tissue
